condition,mode,shortlist_dim,K,lat_ms,ceiling,r1,r5,r10,gallery,n_gallery,r1_ret,speedup
baseline,cascade,128,50,0.11639766666727762,67.6,42.36,60.16,64.22,same_domain,7000,88.76781223805533,2.9452279971064477
baseline,cascade,128,100,0.1461313333372042,76.78,44.72,64.88,70.54,same_domain,7000,93.71332774518022,2.345955920865129
baseline,cascade,128,500,0.3030876666646994,91.92,47.38,71.36,78.64,same_domain,7000,99.2875104777871,1.131084185769866
baseline,cascade,128,1000,0.9798130000005282,95.8,47.6,72.04,79.68,same_domain,7000,99.74853310980721,0.34988070852922465
pca,cascade,128,10,0.09592799999760852,76.8,47.62,70.2,76.8,same_domain,7000,99.66513185433236,3.5736976344224463
pca,cascade,128,50,0.11639766666727762,91.38,47.78,70.8,79.08,same_domain,7000,100.0,2.9452279971064477
pca,cascade,128,100,0.1461313333372042,95.02,47.78,70.84,79.2,same_domain,7000,100.0,2.345955920865129
pca,cascade,128,500,0.3030876666646994,99.0,47.78,70.84,79.2,same_domain,7000,100.0,1.131084185769866
pca,cascade,128,1000,0.9798130000005282,99.64,47.78,70.84,79.2,same_domain,7000,100.0,0.34988070852922465
adapter_plain,cascade,128,10,0.09592799999760852,75.28,48.16,70.86,75.28,same_domain,7000,99.2171405026782,3.5736976344224463
adapter_plain,cascade,128,50,0.11639766666727762,90.42,48.48,73.88,81.8,same_domain,7000,99.87639060568604,2.9452279971064477
adapter_plain,cascade,128,100,0.1461313333372042,94.08,48.52,74.04,82.04,same_domain,7000,99.95879686856202,2.345955920865129
adapter_plain,cascade,128,500,0.3030876666646994,98.54,48.54,74.04,81.98,same_domain,7000,100.0,1.131084185769866
adapter_plain,cascade,128,1000,0.9798130000005282,99.5,48.54,74.04,81.98,same_domain,7000,100.0,0.34988070852922465
adapter_mrl,cascade,128,10,0.09592799999760852,80.06,47.96,72.64,80.06,same_domain,7000,100.0,3.5736976344224463
adapter_mrl,cascade,128,50,0.11639766666727762,93.46,47.96,72.84,81.9,same_domain,7000,100.0,2.9452279971064477
adapter_mrl,cascade,128,100,0.1461313333372042,96.34,47.96,72.84,81.9,same_domain,7000,100.0,2.345955920865129
adapter_mrl,cascade,128,500,0.3030876666646994,99.34,47.96,72.84,81.9,same_domain,7000,100.0,1.131084185769866
adapter_mrl,cascade,128,1000,0.9798130000005282,99.8,47.96,72.84,81.9,same_domain,7000,100.0,0.34988070852922465
