condition,mode,shortlist_dim,K,lat_ms,ceiling,r1,r5,r10,gallery,n_gallery,r1_ret,speedup
baseline,cascade,128,10,0.42376000000028097,42.04,33.94,41.54,42.04,cross_domain,31504,65.95413913719393,7.459366150648495
baseline,cascade,128,50,0.44469066666351864,62.92,43.52,57.9,60.88,cross_domain,31504,84.5705402254178,7.10826926887742
baseline,cascade,128,100,0.5078106666648333,71.24,46.54,62.84,66.8,cross_domain,31504,90.43917605907501,6.224723519026082
baseline,cascade,128,500,0.7549193333397852,87.82,50.78,70.68,76.08,cross_domain,31504,98.67858530897784,4.187177172979038
baseline,cascade,128,1000,1.6084923333255574,92.14,50.88,71.54,77.68,cross_domain,31504,98.87291099883404,1.9651825094283009
pca,cascade,128,10,0.42376000000028097,72.94,49.08,68.24,72.94,cross_domain,31504,99.43273905996759,7.459366150648495
pca,cascade,128,50,0.44469066666351864,86.1,49.32,69.72,75.84,cross_domain,31504,99.91896272285251,7.10826926887742
pca,cascade,128,100,0.5078106666648333,90.44,49.36,69.86,75.98,cross_domain,31504,100.0,6.224723519026082
pca,cascade,128,500,0.7549193333397852,97.34,49.36,69.88,75.98,cross_domain,31504,100.0,4.187177172979038
pca,cascade,128,1000,1.6084923333255574,98.48,49.36,69.88,75.98,cross_domain,31504,100.0,1.9651825094283009
adapter_plain,cascade,128,10,0.42376000000028097,72.7,52.16,70.48,72.7,cross_domain,31504,98.26676714393369,7.459366150648495
adapter_plain,cascade,128,50,0.44469066666351864,85.54,52.94,74.08,79.4,cross_domain,31504,99.73624717407687,7.10826926887742
adapter_plain,cascade,128,100,0.5078106666648333,89.74,53.16,74.4,79.96,cross_domain,31504,100.15071590052752,6.224723519026082
adapter_plain,cascade,128,500,0.7549193333397852,96.14,53.1,74.52,80.3,cross_domain,31504,100.03767897513188,4.187177172979038
adapter_plain,cascade,128,1000,1.6084923333255574,98.0,53.1,74.58,80.38,cross_domain,31504,100.03767897513188,1.9651825094283009
adapter_mrl,cascade,128,10,0.42376000000028097,78.14,53.5,74.06,78.14,cross_domain,31504,99.88797610156833,7.459366150648495
adapter_mrl,cascade,128,50,0.44469066666351864,89.16,53.56,74.84,80.18,cross_domain,31504,100.0,7.10826926887742
adapter_mrl,cascade,128,100,0.5078106666648333,92.72,53.56,74.88,80.22,cross_domain,31504,100.0,6.224723519026082
adapter_mrl,cascade,128,500,0.7549193333397852,97.88,53.56,74.88,80.22,cross_domain,31504,100.0,4.187177172979038
adapter_mrl,cascade,128,1000,1.6084923333255574,99.02,53.56,74.88,80.22,cross_domain,31504,100.0,1.9651825094283009
