dataset,condition,dim,i2t_r1,i2t_r5,i2t_r10,t2i_r1,t2i_r5,t2i_r10
flickr30k,lora_distill2,32,79.4,96.8,98.9,65.02,88.75999999999999,94.06
flickr30k,lora_distill2,64,84.89999999999999,98.0,99.1,69.48,90.94,95.42
flickr30k,lora_distill2,128,86.5,97.8,99.2,71.7,91.67999999999999,95.8
flickr30k,lora_distill2,256,87.2,98.2,99.1,72.32,92.06,95.78
flickr30k,lora_distill2,512,86.1,98.0,99.4,73.42,92.30000000000001,95.94
coco,lora_distill2,32,39.5,65.78,76.08,28.683999999999997,53.68000000000001,64.724
coco,lora_distill2,64,47.099999999999994,72.58,82.06,33.776,59.608000000000004,70.26
coco,lora_distill2,128,50.080000000000005,75.48,84.28,36.272,62.18,72.428
coco,lora_distill2,256,52.32,76.96,85.28,37.464,63.6,73.69200000000001
coco,lora_distill2,512,54.08,78.12,86.18,38.984,64.976,74.92
