condition,dim,i2t_r1,i2t_r5,i2t_r10,t2i_r1,t2i_r5,t2i_r10,i2t_r1_ret,t2i_r1_ret
coco_baseline,32,4.44,11.58,17.14,3.092,9.324,14.316,7.469717362045761,7.307619587823785
coco_baseline,64,12.46,28.720000000000002,37.46,7.951999999999999,20.62,28.776000000000003,20.962314939434723,18.79372282094914
coco_baseline,128,26.1,50.260000000000005,61.78,19.06,39.964,51.356,43.90982503364737,45.04632255624882
coco_baseline,256,9.46,25.6,36.86,29.432000000000002,54.408,65.508,15.91520861372813,69.55946303649084
coco_baseline,512,59.440000000000005,81.82000000000001,88.62,42.312,67.72399999999999,77.056,100.00000000000001,100.0
