condition,dim,i2t_r1,i2t_r5,i2t_r10,t2i_r1,t2i_r5,t2i_r10,i2t_r1_ret,t2i_r1_ret
coco_adapter_plain,32,20.419999999999998,41.9,53.92,14.027999999999999,32.151999999999994,42.628,38.36903419767005,37.087563451776646
coco_adapter_plain,64,34.86,61.160000000000004,71.88,24.088,47.476,58.616,65.50169109357384,63.68443316412859
coco_adapter_plain,128,43.64,69.86,79.66,30.703999999999997,55.664,66.616,81.99924840285607,81.17597292724194
coco_adapter_plain,256,49.4,74.5,82.69999999999999,34.908,60.58,70.976,92.82224727546036,92.29060913705582
coco_adapter_plain,512,53.22,77.06,85.2,37.824000000000005,63.800000000000004,73.756,100.0,100.0
