condition,dim,i2t_r1,i2t_r5,i2t_r10,t2i_r1,t2i_r5,t2i_r10,i2t_r1_ret,t2i_r1_ret
coco_pca,32,5.5,18.060000000000002,27.32,11.020000000000001,27.864,37.828,9.605309116311561,27.07350628930818
coco_pca,64,19.220000000000002,43.02,54.300000000000004,22.432,46.224,57.896,33.56618931191059,55.11006289308175
coco_pca,128,40.339999999999996,68.32000000000001,77.46,34.064,60.572,70.948,70.45057631854698,83.687106918239
coco_pca,256,54.26,77.96,85.46000000000001,39.808,65.29599999999999,75.224,94.76074048201188,97.79874213836479
coco_pca,512,57.26,79.78,86.94,40.704,65.988,75.788,100.0,100.0
