dataset,condition,dim,i2t_r1,i2t_r5,i2t_r10,t2i_r1,t2i_r5,t2i_r10
flickr30k,lora_distill05,32,79.7,96.89999999999999,98.8,65.56,89.1,94.17999999999999
flickr30k,lora_distill05,64,84.8,98.1,99.1,69.6,91.18,95.62
flickr30k,lora_distill05,128,86.7,97.8,99.1,71.61999999999999,91.74,95.82000000000001
flickr30k,lora_distill05,256,86.9,98.3,98.9,72.24000000000001,92.24,95.82000000000001
flickr30k,lora_distill05,512,86.4,98.1,99.2,73.54,92.36,96.17999999999999
coco,lora_distill05,32,39.96,66.24,76.32,29.112,54.2,65.144
coco,lora_distill05,64,47.24,72.74000000000001,82.26,34.1,59.955999999999996,70.38
coco,lora_distill05,128,50.260000000000005,75.44,84.28,36.524,62.483999999999995,72.74000000000001
coco,lora_distill05,256,52.44,76.75999999999999,85.18,37.84,63.868,73.788
coco,lora_distill05,512,54.16,77.66,86.18,39.176,65.128,74.956
